Issue Date	Destination	Ship name	Ship nationality	Sailing	Merchant	Count	Unit	Commodity
1906-03-05	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1906	Anglo-Egyptian Bank Ltd.	29	bags	gum
1906-03-05	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1906	Nile Flotilla Co. Ltd.	36	bundles	empty bags
1906-03-05	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1906	Kraft & Nagiar	15	bags	senna
1906-03-05	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1906	Kafr-Zayat Cotton Co.	390	barrels	black grease
1906-03-05	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1906	Various	27	packages	sundries
1907-05-13	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1907	E. Toriel & fils	50	bales	cotton
1907-05-13	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1907	Cattaui Bros. & Co.	150	bales	cotton
1907-05-13	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1907	Walker & Meimarachi Ltd	180	bales	cotton
1907-05-13	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1907	E. Barber & Son	30	bales	cotton
1907-05-13	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1907	John B. Caffari	160	bales	cotton
1907-05-13	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1907	M. L. Carasso	30	bales	cotton
1907-05-13	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1907	N. Soussa Bros.	5	bales	cotton
1907-05-13	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1907	Alexandria Bonded Warehouse	90	bales	cotton
1907-05-13	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1907	B. Hazan & Co.	204	bales	cotton
1907-05-13	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1907	C. N. Tocos & Co.	1	bales	cotton
1907-05-13	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1907	Sucreries & Raff. d'Egypte	2000	bags	sugar
1907-05-13	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1907	John B. Caffari	5	packages	tobacco
1907-05-13	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1907	E. Hatoun	3	cases	curios
1907-05-13	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1907	Mrs. Richmond	3	packages	effects
1907-05-13	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1907	A. B. Burns	2	packages	effects
1907-05-13	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1907	W. Snow Esq.	6	packages	effects
1907-05-13	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1907	Thos. Cook & Son	7	packages	effects
1907-05-13	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1907	C. H. Baldwin	12	packages	effects
1907-05-13	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1907	J. Setton & Co.	2	cases	furniture
1907-05-13	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1907	Various	11	packages	sundries
1906-03-07	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1906	H. Bindernagel	330	bales	cotton
1906-03-07	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1906	W. Trapp & Co.	5	bales	cotton
1906-03-07	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1906	F. Andres	207	bales	cotton
1906-03-07	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1906	R. & O. Lindemann	150	bales	cotton
1906-03-07	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1906	G. Riecken	80	bales	cotton
1906-03-07	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1906	E. Mallison & Co.	250	bales	cotton
1906-03-07	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1906	N. G. Casulli	220	bales	cotton
1906-03-07	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1906	J. Planta & Co.	100	bales	cotton
1906-03-07	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1906	Mohr & Fenderl	225	bales	cotton
1906-03-07	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1906	F. C. Baines & Co.	50	bales	cotton
1906-03-07	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1906	Carver Bros. & Co. Ltd.	1,566	bales	cotton
1906-03-07	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1906	Choremi, Benachi & Co.	868	bales	cotton
1906-03-07	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1906	Peel & Co.	1,526	bales	cotton
1906-03-07	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1906	Peel & Co.	5,577	bales	cotton
1906-03-07	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1906	G. L. Sursock	604	tons	cotton seed
1906-03-07	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1906	Moursi Bros.	446	tons	cotton seed
1906-03-07	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1906	S. R. Barda & Sons	328	tons	cotton seed
1906-03-07	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1906	Anglo-Egyptian Bank Ltd.	460	tons	cotton seed
1906-03-07	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1906	Kafr-Zayat Cotton Co.	10,230	bags	oil cake
1906-03-07	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1906	Behrend & Co.	250	bags	sugar
1906-03-07	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1906	O. K. Levick	300	cases	eggs
1906-03-07	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1906	R. Mordo	60	cases	eggs
1906-03-07	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1906	Various	2	packages	sundries
1906-03-07	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1906	J. E. Nacamuli	7	packages	skins
1906-03-07	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1906	F. Andres	55	bales	cotton
1906-03-07	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1906	R. & O. Lindemann	735	bales	cotton
1906-03-07	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1906	G. Frauger & Co.	124	bales	cotton
1906-03-07	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1906	Carver Bros. & Co. Ltd.	30	bales	cotton
1906-03-07	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1906	F. C. Baines & Co.	154	bales	cotton
1906-03-07	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1906	J. Planta & Co.	401	bales	cotton
1906-03-07	Piraeus & Odessa	Emp. Nicolas		Mar 23, 1906	J. Planta & Co.	1,499	bales	cotton
