Issue Date	Destination	Ship name	Ship nationality	Sailing	Merchant	Count	Unit	Commodity
1906-12-10	Malta & Dunkirk	Carib Prince		Jun 2, 1906	Lanadale	50	cases	eggs
1906-12-10	Malta & Dunkirk	Carib Prince		Jun 2, 1906	Carver Bros. & Co. Ltd.	366	tons	cotton seed
1906-12-10	Malta & Dunkirk	Carib Prince		Jun 2, 1906	Barki	29	bales	yarn
1906-12-10	Malta & Dunkirk	Carib Prince		Jun 2, 1906	Various	2	packages	sundries
1907-01-31								
1907-01-31	Malta & Dunkirk	Carib Prince		Jun 2, 1907	Tadros Ghirghis & Son	560	tons	cotton seed
1907-01-31	Malta & Dunkirk	Carib Prince		Jun 2, 1907	Anglo-Egyptian Bank Ltd.	1,960	tons	cotton seed
1907-01-31	Malta & Dunkirk	Carib Prince		Jun 2, 1907	J. Goar & Son	876	tons	cotton seed
1907-01-31	Malta & Dunkirk	Carib Prince		Jun 2, 1907	Moursi Bros.	407	tons	cotton seed
1907-01-31	Malta & Dunkirk	Carib Prince		Jun 2, 1907	B. J. Coury & Co.	435	tons	cotton seed
1907-01-31	Malta & Dunkirk	Carib Prince		Jun 2, 1907	E. Ghellini & Co.	54	bags	horns
1907-01-31								
1907-01-31	Malta & Dunkirk	Carib Prince		Jun 2, 1907	N. E. Tamvaco	627	tons	cotton seed
1907-01-31	Malta & Dunkirk	Carib Prince		Jun 2, 1907	Anglo-Egyptian Bank Ltd.	990	tons	cotton seed
1907-01-31	Malta & Dunkirk	Carib Prince		Jun 2, 1907	L. Heller	250	barrels	molasses
1907-01-31	Malta & Dunkirk	Carib Prince		Jun 2, 1907	Kafr-Zayat Cotton Co.	1,760	bags	oil cake
